paperId,title,authors,venue,year,month,primaryUrl,pdfUrl,tags
arxiv:2511.04481v1,"Promoting Sustainable Web Agents: Benchmarking and Estimating Energy
  Consumption through Empirical and Theoretical Analysis","Lars Krupp, Daniel Geißler, Vishal Banwari, Paul Lukowicz, Jakob Karolus",arXiv,2025,11,http://arxiv.org/abs/2511.04481v1,http://arxiv.org/pdf/2511.04481v1,"agent,autonomy,benchmark"
arxiv:2511.03958v1,Multi-Agent Collaborative Framework For Math Problem Generation,"Kia Karbasi, Kevin Hong, Mohammad Amin Samadi, Gregory Pottie",arXiv,2025,11,http://arxiv.org/abs/2511.03958v1,http://arxiv.org/pdf/2511.03958v1,"agent,evaluation,multi-agent,workflow"
arxiv:2511.03690v1,"The OpenHands Software Agent SDK: A Composable and Extensible Foundation
  for Production Agents","Xingyao Wang, Simon Rosenberg, Juan Michelini, Calvin Smith, Hoang Tran, Engel Nyst, Rohit Malhotra, Xuhui Zhou, Valerie Chen, Robert Brennan, Graham Neubig",arXiv,2025,11,http://arxiv.org/abs/2511.03690v1,http://arxiv.org/pdf/2511.03690v1,"agent,benchmark,memory,tool-use"
arxiv:2511.03497v1,"ROSBag MCP Server: Analyzing Robot Data with LLMs for Agentic Embodied
  AI Applications","Lei Fu, Sahar Salimpour, Leonardo Militano, Harry Edelman, Jorge Peña Queralta, Giovanni Toffetti",arXiv,2025,11,http://arxiv.org/abs/2511.03497v1,http://arxiv.org/pdf/2511.03497v1,"agent,benchmark,tool-use"
arxiv:2511.03434v1,"Inter-Agent Trust Models: A Comparative Study of Brief, Claim, Proof,
  Stake, Reputation and Constraint in Agentic Web Protocol Design-A2A, AP2,
  ERC-8004, and Beyond","Botao 'Amber' Hu, Helena Rong",arXiv,2025,11,http://arxiv.org/abs/2511.03434v1,http://arxiv.org/pdf/2511.03434v1,"agent,autonomy"
arxiv:2511.02606v1,"A Multi-Agent Psychological Simulation System for Human Behavior
  Modeling","Xiangen Hu, Jiarui Tong, Sheng Xu",arXiv,2025,11,http://arxiv.org/abs/2511.02606v1,http://arxiv.org/pdf/2511.02606v1,"agent,multi-agent"
arxiv:2511.02560v1,"SigmaCollab: An Application-Driven Dataset for Physically Situated
  Collaboration","Dan Bohus, Sean Andrist, Ann Paradiso, Nick Saw, Tim Schoonbeek, Maia Stiber",arXiv,2025,11,http://arxiv.org/abs/2511.02560v1,http://arxiv.org/pdf/2511.02560v1,"agent,benchmark"
arxiv:2511.02303v1,"Unlocking the Power of Multi-Agent LLM for Reasoning: From Lazy Agents
  to Deliberation","Zhiwei Zhang, Xiaomin Li, Yudi Lin, Hui Liu, Ramraj Chandradevan, Linlin Wu, Minhua Lin, Fali Wang, Xianfeng Tang, Qi He, Suhang Wang",arXiv,2025,11,http://arxiv.org/abs/2511.02303v1,http://arxiv.org/pdf/2511.02303v1,"agent,multi-agent,reasoning"
arxiv:2511.01999v1,TRACE: Textual Reasoning for Affordance Coordinate Extraction,"Sangyun Park, Jin Kim, Yuchen Cui, Matthew S. Brown",arXiv,2025,11,http://arxiv.org/abs/2511.01999v1,http://arxiv.org/pdf/2511.01999v1,"autonomy,benchmark,reasoning"
arxiv:2511.01093v1,"Continual Learning, Not Training: Online Adaptation For Agents","Aman Jaglan, Jarrod Barnes",arXiv,2025,11,http://arxiv.org/abs/2511.01093v1,http://arxiv.org/pdf/2511.01093v1,"agent,benchmark,memory,reasoning"
